id,name,image,description,location
1,Досуговый центр «Уя»,programs_img/uya_center.png,"— это место для общения, учёбы, встреч и досуга аульских детей. В наши летние школы мы тоже привозим самые разные практики, чтобы наши студенты могли попробовать то, что в их ауле/селе недоступно — это совершенно бесплатно","Аул Икон-Халк, Карачаево-Черкессия"
2,Летние школы «Балапанлар»,programs_img/balapanlar_summer_schools.png,"— это 12-дневная неформальная программа для детей в аулах и сёлах. Наша команда и преподаватели приезжают к местным детям и проводят с ними самые разные занятия: астрономия, математика, языки, йога, театр, музыка и др.","Аул Икон-Халк, Карачаево-Черкессия"
