id,name,description,image,url
1,Lecturers Without Borders,"Lecturers Without Borders — сообщество молодых учёных со всего мира, которые проводят лекции и мастер-классы для школ. Среди лекторов много учёных из России. Для нас математики из Сорбонны проводили занятия по квази-кристаллам, а в будущем мы планируем привозить лекторов в наш центр.",partners_img/lecturers_icon.png,https://lewibo.org/
2,Открывая горизонты,"Фонд работает в 45 регионах и с осени 2021 мы их единственные партнёры в Карачаево-Черкессии.

Совместно проводим программу профориентации «Поколение Выбор». В 2021–2022 в ней приняли участие 35 подростков из 2 школ аула Икон-Халк и посёлка Эркен-Шахар. В сезоне 2022–2023 планируются ещё две школы.",partners_img/horizons_icon.png,https://xn----7sbfgufj4abfcqfum7kl6d.xn--p1ai/
3,ХимБио,"ХимБио — онлайн-школа и выездные программы для детей и подростков со всего мира! Занимаются здесь химией, биологией и физикой, много практики и опытов. Летом детей и подростков ждут экспедиции, а во время учебного года — курсы по самым разным направлениям.",partners_img/chem_bio_icon.png,https://himbio4you.ru/
